feature,importance,std,series
lag_1,0.1725866576502853,0.00654864139613538,CA_FOODS
lag_7,0.12350578298854283,0.004181752497156873,CA_FOODS
lag_28,0.0901552732876633,0.003861014653722484,CA_FOODS
snap_flag,0.06368930728770797,0.004085915336958394,CA_FOODS
lag_14,0.0570665596159313,0.002659207821521451,CA_FOODS
lag_2,0.03311460869731875,0.0023367961145547757,CA_FOODS
lag_21,0.030773679739356553,0.0019885059636235024,CA_FOODS
holiday_flag,0.03025450235654494,0.0032132793755547456,CA_FOODS
lag_1,0.20319244801749087,0.012039736659036812,CA_HOBBIES
lag_7,0.10058548730326189,0.005590890391605303,CA_HOBBIES
lag_28,0.09615130813984474,0.005532275638957761,CA_HOBBIES
lag_14,0.060072203580601266,0.003834911710557654,CA_HOBBIES
lag_2,0.0369605762599821,0.0033575547128660574,CA_HOBBIES
lag_21,0.03656016199609422,0.0030169851453432615,CA_HOBBIES
holiday_flag,0.02782012548444973,0.0028423974877475064,CA_HOBBIES
snap_flag,0.019177250431193404,0.003462838406598982,CA_HOBBIES
lag_1,0.14411161304068748,0.00726197792886911,CA_HOUSEHOLD
lag_7,0.10314918038433837,0.003770401211737349,CA_HOUSEHOLD
lag_28,0.08933458475276246,0.00304362427597962,CA_HOUSEHOLD
lag_14,0.054094727630804584,0.0026553261074250085,CA_HOUSEHOLD
lag_21,0.03141893695171079,0.0017781558663560854,CA_HOUSEHOLD
lag_2,0.028455217525844772,0.002317293159151049,CA_HOUSEHOLD
holiday_flag,0.019376801525141495,0.001814252020898179,CA_HOUSEHOLD
snap_flag,0.01357870478855446,0.0019163836596538153,CA_HOUSEHOLD
snap_flag,0.19289965336875264,0.007406078574106178,TX_FOODS
lag_1,0.1772218645669063,0.007776359687285012,TX_FOODS
lag_7,0.11642255415987843,0.005776836544363778,TX_FOODS
lag_28,0.1036377027719795,0.004311506186285426,TX_FOODS
lag_14,0.05761748665793178,0.004518300400784276,TX_FOODS
lag_2,0.03576048037934359,0.002423499643031554,TX_FOODS
lag_21,0.033839883349150966,0.0024748261237615738,TX_FOODS
holiday_flag,0.01990138788671684,0.002604953756267465,TX_FOODS
lag_1,0.1644737074655011,0.00966573139658792,TX_HOBBIES
lag_7,0.10949442973213903,0.004948834701355479,TX_HOBBIES
lag_28,0.09586922280391416,0.0042906861372588685,TX_HOBBIES
lag_14,0.06037042734124402,0.0030626447859855594,TX_HOBBIES
lag_21,0.04038700746095834,0.002542517416622994,TX_HOBBIES
lag_2,0.03470974980153664,0.002625203251637303,TX_HOBBIES
holiday_flag,0.025955312501709637,0.0028133059870308463,TX_HOBBIES
snap_flag,0.015195300752052821,0.0023882796430784122,TX_HOBBIES
lag_1,0.1711204411543597,0.007963867677183096,TX_HOUSEHOLD
lag_7,0.09284987630558647,0.004514385807756101,TX_HOUSEHOLD
lag_28,0.0806617415210722,0.003132884726210428,TX_HOUSEHOLD
lag_14,0.04787917678418827,0.0022122010157992413,TX_HOUSEHOLD
lag_21,0.027558928370054265,0.002018276491811283,TX_HOUSEHOLD
lag_2,0.02468137910419081,0.002965174619926521,TX_HOUSEHOLD
holiday_flag,0.01846743773529349,0.0023303585217125384,TX_HOUSEHOLD
snap_flag,0.013599706085918834,0.0018111850148933022,TX_HOUSEHOLD
snap_flag,0.25659470487546054,0.00817896766437897,WI_FOODS
lag_1,0.21516318654245414,0.008868178054146717,WI_FOODS
lag_28,0.11704888747727404,0.005691155702489167,WI_FOODS
lag_7,0.09485148041349037,0.004505399561304361,WI_FOODS
lag_14,0.04156213259604656,0.0026378446005286857,WI_FOODS
lag_21,0.03466561682306858,0.002061366165219557,WI_FOODS
holiday_flag,0.01862300913098495,0.0016556246565190337,WI_FOODS
lag_2,0.01798500380011218,0.0019187318351217924,WI_FOODS
lag_1,0.1608809776733175,0.00833839287505518,WI_HOBBIES
lag_28,0.11087582278083015,0.006539437218695987,WI_HOBBIES
lag_7,0.10564516780723772,0.00643070153714599,WI_HOBBIES
lag_14,0.07467934423951339,0.005075675393748496,WI_HOBBIES
lag_2,0.04707629693883185,0.0028519302831769397,WI_HOBBIES
lag_21,0.04681898368843013,0.003633353674439074,WI_HOBBIES
holiday_flag,0.040375398949677774,0.0041018359055803085,WI_HOBBIES
snap_flag,0.017292577820695428,0.0019866872355726985,WI_HOBBIES
lag_1,0.21784713870963132,0.00805680662105514,WI_HOUSEHOLD
lag_28,0.12116702104067334,0.004249331335462275,WI_HOUSEHOLD
lag_7,0.07976115674753645,0.0024606146151141543,WI_HOUSEHOLD
lag_14,0.053769261035509365,0.002584480267018818,WI_HOUSEHOLD
lag_21,0.029177286930675263,0.0014245568076879757,WI_HOUSEHOLD
holiday_flag,0.028313032142547857,0.002406877040137847,WI_HOUSEHOLD
lag_2,0.02546339432140366,0.002694740843029468,WI_HOUSEHOLD
snap_flag,0.014309467057661156,0.0018241154733653244,WI_HOUSEHOLD
