series_id,group,feature,mean_imp,std_imp,min_imp,max_imp,n_seeds
group_a_001,group_a,exog_feature_1,0.2876747070414647,0.1615594107190659,0.035577356888127645,0.4747745635461088,20
group_a_001,group_a,exog_feature_2,0.00504378199921304,0.005438615141906144,-0.0027976475191122618,0.015858921440156853,20
group_a_001,group_a,exog_feature_3,0.36242653322037877,0.06916179126766128,0.24350451087245317,0.43594192807565485,20
group_a_002,group_a,exog_feature_1,0.28307788893269026,0.15370544915033962,0.0334849083862213,0.46516124498370337,20
group_a_002,group_a,exog_feature_2,0.004499611464011721,0.005499284197545635,-0.002206205388399046,0.01837575685461581,20
group_a_002,group_a,exog_feature_3,0.3623755359852236,0.07048531441618781,0.2386044108840076,0.43952007964615636,20
group_a_003,group_a,exog_feature_1,0.27126153282382104,0.14274192099193345,0.03653683238498292,0.4301667377042343,20
group_a_003,group_a,exog_feature_2,0.005439659130086171,0.005107729658676309,-0.0013818302405244176,0.017327235312962437,20
group_a_003,group_a,exog_feature_3,0.36066975911218996,0.0680187410480183,0.23724237527010947,0.4397685510621658,20
group_b_001,group_b,exog_feature_1,0.01859146401400403,0.02305411427680464,-1.8200257435219137e-05,0.06543832217633114,20
group_b_001,group_b,exog_feature_2,0.542641667008174,0.18666460412988564,0.19388052261364225,0.7228027286408258,20
group_b_001,group_b,exog_feature_3,0.3568828035093269,0.06631015379167406,0.23980004601949007,0.4436609010495861,20
group_b_002,group_b,exog_feature_1,0.017769082627791432,0.022220439728697677,-5.6853148727881166e-05,0.06475344543522349,20
group_b_002,group_b,exog_feature_2,0.5382330007342349,0.18984831073133276,0.18138223406347348,0.7417419390743872,20
group_b_002,group_b,exog_feature_3,0.36223705974086706,0.0650715741702484,0.2365273723556692,0.449184031041883,20
group_b_003,group_b,exog_feature_1,0.019142287943011826,0.023441515864279748,-0.00026189383641106874,0.0674803815018944,20
group_b_003,group_b,exog_feature_2,0.5372825911691781,0.19104302041236806,0.17766897429853176,0.7241948590958686,20
group_b_003,group_b,exog_feature_3,0.36156596237785144,0.06442171941398626,0.24329657888161177,0.4315530040904396,20
