feature,importance,std
lag_1,0.07580345214338334,0.001092999349397088
snap_flag,0.0629793760547209,0.001096915050927393
lag_7,0.053912400308197404,0.0009960720840032796
lag_28,0.053149311984975245,0.0011714961711732682
lag_14,0.029080765655902018,0.0007259795009565293
holiday_flag,0.02414048671049729,0.0009430049518849274
lag_2,0.02344867207713221,0.0008381873581940109
lag_21,0.02028400041682356,0.0006062145243662514
