series,feature,wasserstein_global,wasserstein_conditional,ks_global,ks_conditional
3,temperature,6.191182408439367,0.0,0.2327113062568606,0.0
3,holiday_flag,0.014270032930845167,0.0,0.014270032930845226,0.0
3,promotion,0.010976948408342513,0.0,0.010976948408342482,0.0
4,temperature,7.769518375073671,0.0,0.27277716794731066,0.0
4,holiday_flag,0.0005488474204171645,0.0,0.0005488474204171241,0.0
4,promotion,0.017014270032930878,0.0,0.017014270032930844,0.0
5,temperature,9.15073809432638,0.0,0.3150384193194292,0.0
5,holiday_flag,0.00933040614709113,0.0,0.009330406147091108,0.0
5,promotion,0.008781558726673966,0.0,0.008781558726673985,0.0
0,temperature,9.62553097563838,0.0,0.3260153677277717,0.0
0,holiday_flag,0.002195389681668436,0.0,0.0021953896816684962,0.0
0,promotion,0.00933040614709113,0.0,0.009330406147091108,0.0
1,temperature,7.360729344911318,0.0,0.24643249176728868,0.0
1,holiday_flag,0.003293084522502765,0.0,0.003293084522502744,0.0
1,promotion,0.011525795828759677,0.0,0.011525795828759604,0.0
2,temperature,6.078296708474606,0.0,0.21844127332601537,0.0
2,holiday_flag,0.009879253567508184,0.0,0.009879253567508232,0.0
2,promotion,0.012623490669593784,0.0,0.012623490669593854,0.0
