seed,group,feature,group_avg_importance,global_importance,global_vs_group_gap,conditional_minus_global
42,group_a,exog_feature_1,0.3668720354155452,0.15833696797129862,-0.20853506744424657,0.20853506744424657
42,group_b,exog_feature_1,0.002528255268631286,0.15833696743566888,0.1558087121670376,-0.1558087121670376
123,group_a,exog_feature_1,0.04298005247341188,0.016967150373017558,-0.02601290210039432,0.02601290210039432
123,group_b,exog_feature_1,-2.4007133643858877e-05,0.016967152069044606,0.016991159202688465,-0.016991159202688465
456,group_a,exog_feature_1,0.3804122845630921,0.1772176745443175,-0.20319461001877462,0.20319461001877462
456,group_b,exog_feature_1,0.01865439297197463,0.17721767798775748,0.15856328501578285,-0.15856328501578285
789,group_a,exog_feature_1,0.43939720986624825,0.21123560753978637,-0.22816160232646188,0.22816160232646188
789,group_b,exog_feature_1,0.05049527201301669,0.21123560561468407,0.16074033360166737,-0.16074033360166737
1011,group_a,exog_feature_1,0.42295458383169343,0.21508824504034718,-0.20786633879134625,0.20786633879134625
1011,group_b,exog_feature_1,0.06589071540720706,0.21508824347600697,0.1491975280687999,-0.1491975280687999
1213,group_a,exog_feature_1,0.44895281556779093,0.2256092041829327,-0.22334361138485823,0.22334361138485823
1213,group_b,exog_feature_1,0.05524621770179742,0.22560920504345375,0.17036298734165634,-0.17036298734165634
1415,group_a,exog_feature_1,0.0653877390597904,0.026880890004506837,-0.03850684905528356,0.03850684905528356
1415,group_b,exog_feature_1,-3.773465404278515e-05,0.02688088855080631,0.026918623204849095,-0.026918623204849095
1617,group_a,exog_feature_1,0.3946508617321021,0.1805516357698437,-0.21409922596225842,0.21409922596225842
1617,group_b,exog_feature_1,0.03479413555391031,0.1805516334825509,0.1457574979286406,-0.1457574979286406
1819,group_a,exog_feature_1,0.4062353029672512,0.20614827154078924,-0.20008703142646195,0.20008703142646195
1819,group_b,exog_feature_1,0.050041592097229554,0.20614827266451063,0.15610668056728108,-0.15610668056728108
2021,group_a,exog_feature_1,0.15067505614137744,0.0694789082159085,-0.08119614792546893,0.08119614792546893
2021,group_b,exog_feature_1,0.0006526662470113539,0.06947891172745892,0.06882624548044756,-0.06882624548044756
2223,group_a,exog_feature_1,0.400650008344222,0.16257639546837735,-0.23807361287584464,0.23807361287584464
2223,group_b,exog_feature_1,0.006562953295614894,0.16257639816737376,0.15601344487175886,-0.15601344487175886
2425,group_a,exog_feature_1,0.3884915783683155,0.1712598668205605,-0.217231711547755,0.217231711547755
2425,group_b,exog_feature_1,0.010734012287665757,0.1712598694577082,0.16052585717004245,-0.16052585717004245
2627,group_a,exog_feature_1,0.16395796096895038,0.06986786648095708,-0.0940900944879933,0.0940900944879933
2627,group_b,exog_feature_1,0.000439882712543528,0.0698678646362953,0.06942798192375177,-0.06942798192375177
2829,group_a,exog_feature_1,0.03871098316668333,0.014210790580940238,-0.024500192585743093,0.024500192585743093
2829,group_b,exog_feature_1,4.447995340630067e-05,0.014210788042203777,0.014166308088797477,-0.014166308088797477
3031,group_a,exog_feature_1,0.39602032195441284,0.1864241446669749,-0.20959617728743793,0.20959617728743793
3031,group_b,exog_feature_1,0.03276593831516111,0.18642414374300562,0.1536582054278445,-0.1536582054278445
