series,feature,original_mean,global_mean_shift,cond_mean_shift,global_std_shift,cond_std_shift
3,temperature,21.1279570277917,6.062446811890958,0.0,3.270277491298067,0.0
3,holiday_flag,0.13721185510428102,0.014270032930845222,0.0,0.014451055864753426,0.0
3,promotion,0.29088913282107576,0.010976948408342457,0.0,0.004896338803812572,0.0
4,temperature,23.086930224846128,7.769518375073671,0.0,3.2851373352829505,0.0
4,holiday_flag,0.14654226125137212,0.0005488474204171367,0.0,0.00054955404677548,0.0
4,promotion,0.3150384193194292,0.017014270032930878,0.0,0.007142979674378935,0.0
5,temperature,24.982045172741582,9.150738094326375,0.0,3.351540645408056,0.0
5,holiday_flag,0.15642151481888036,0.00933040614709113,0.0,0.009060259588514363,0.0
5,promotion,0.30954994511525796,0.008781558726673966,0.0,0.003716962742791874,0.0
0,temperature,4.992887441071681,9.625530975638377,0.0,3.008802145214778,0.0
0,holiday_flag,0.1432491767288694,0.0021953896816684915,0.0,0.0022223333013466906,0.0
0,promotion,0.31174533479692645,0.00933040614709113,0.0,0.003903511383907543,0.0
1,temperature,7.025572187803851,7.351790014241917,1.7763568394002505e-15,2.974693123131326,0.0
1,holiday_flag,0.14654226125137212,0.003293084522502737,0.0,0.0032618322127717647,0.0
1,promotion,0.2991218441273326,0.011525795828759566,0.0,0.004886807795492998,0.0
2,temperature,9.131873795003989,6.005382291410708,3.552713678800501e-15,3.0096018225779098,0.0
2,holiday_flag,0.15203073545554335,0.00987925356750824,0.0,0.009847944829260602,0.0
2,promotion,0.2897914379802415,0.01262349066959384,0.0,0.005640048973148903,0.0
