levels,lags,params,mean_squared_error__weighted_average,mean_squared_error__average,mean_squared_error__pooling,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,reg_alpha,reg_lambda
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 440, 'learning_rate': 0.07968087883118995, 'num_leaves': 17, 'max_depth': 8, 'min_child_samples': 29, 'reg_alpha': 2.0765511533880634, 'reg_lambda': 0.0001118647179719468}",128.51841390054497,128.51841390054497,128.51841390054497,440.0,0.07968087883118995,17.0,8.0,29.0,2.0765511533880634,0.0001118647179719468
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 454, 'learning_rate': 0.08929433409381465, 'num_leaves': 18, 'max_depth': 8, 'min_child_samples': 28, 'reg_alpha': 1.0805241682512439, 'reg_lambda': 0.001236784133620821}",128.76181814140253,128.7618181414025,128.76181814140253,454.0,0.08929433409381465,18.0,8.0,28.0,1.0805241682512439,0.001236784133620821
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 296, 'learning_rate': 0.024942316496603126, 'num_leaves': 38, 'max_depth': 7, 'min_child_samples': 15, 'reg_alpha': 0.2730776371599485, 'reg_lambda': 0.0012463360642631055}",129.05742032924488,129.05742032924488,129.05742032924488,296.0,0.024942316496603126,38.0,7.0,15.0,0.2730776371599485,0.0012463360642631055
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 461, 'learning_rate': 0.0968968414583532, 'num_leaves': 15, 'max_depth': 7, 'min_child_samples': 29, 'reg_alpha': 3.43977095279344, 'reg_lambda': 0.00018574564336187275}",129.1144791632558,129.1144791632558,129.1144791632558,461.0,0.0968968414583532,15.0,7.0,29.0,3.43977095279344,0.00018574564336187275
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 432, 'learning_rate': 0.10671466837881553, 'num_leaves': 17, 'max_depth': 8, 'min_child_samples': 42, 'reg_alpha': 0.6016858227910332, 'reg_lambda': 0.0002695765875788357}",129.1472520825634,129.1472520825634,129.14725208256337,432.0,0.10671466837881553,17.0,8.0,42.0,0.6016858227910332,0.0002695765875788357
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 421, 'learning_rate': 0.08617080805449316, 'num_leaves': 19, 'max_depth': 7, 'min_child_samples': 30, 'reg_alpha': 1.3043286503443567, 'reg_lambda': 0.0005249160864190144}",129.1519148949465,129.15191489494646,129.15191489494646,421.0,0.08617080805449316,19.0,7.0,30.0,1.3043286503443567,0.0005249160864190144
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 413, 'learning_rate': 0.09804408380885642, 'num_leaves': 17, 'max_depth': 12, 'min_child_samples': 30, 'reg_alpha': 1.2147519563736924, 'reg_lambda': 0.002532425840146141}",129.20320632380478,129.20320632380475,129.20320632380475,413.0,0.09804408380885642,17.0,12.0,30.0,1.2147519563736924,0.002532425840146141
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 426, 'learning_rate': 0.08051756709491789, 'num_leaves': 15, 'max_depth': 8, 'min_child_samples': 42, 'reg_alpha': 0.1967816930541234, 'reg_lambda': 0.00017001778723690022}",129.3662623106911,129.3662623106911,129.36626231069107,426.0,0.08051756709491789,15.0,8.0,42.0,0.1967816930541234,0.00017001778723690022
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 431, 'learning_rate': 0.09561943251843659, 'num_leaves': 22, 'max_depth': 7, 'min_child_samples': 43, 'reg_alpha': 0.15791097593793524, 'reg_lambda': 8.817988225343735e-05}",129.3670291500398,129.3670291500398,129.36702915003977,431.0,0.09561943251843659,22.0,7.0,43.0,0.15791097593793524,8.817988225343735e-05
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 436, 'learning_rate': 0.0802288155363606, 'num_leaves': 17, 'max_depth': 8, 'min_child_samples': 29, 'reg_alpha': 1.8487998809794954, 'reg_lambda': 0.00012608265024757547}",129.50472378277814,129.50472378277814,129.50472378277814,436.0,0.0802288155363606,17.0,8.0,29.0,1.8487998809794954,0.00012608265024757547
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 464, 'learning_rate': 0.09487748656178, 'num_leaves': 18, 'max_depth': 7, 'min_child_samples': 42, 'reg_alpha': 0.3128840508109784, 'reg_lambda': 0.00027881773144439344}",129.52618958334767,129.52618958334764,129.52618958334767,464.0,0.09487748656178,18.0,7.0,42.0,0.3128840508109784,0.00027881773144439344
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 420, 'learning_rate': 0.07589655454045174, 'num_leaves': 19, 'max_depth': 7, 'min_child_samples': 32, 'reg_alpha': 1.7017888107335528, 'reg_lambda': 0.0004506814667207333}",129.6014981955632,129.60149819556324,129.60149819556324,420.0,0.07589655454045174,19.0,7.0,32.0,1.7017888107335528,0.0004506814667207333
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 430, 'learning_rate': 0.08761977206568668, 'num_leaves': 23, 'max_depth': 8, 'min_child_samples': 29, 'reg_alpha': 1.718678999233778, 'reg_lambda': 0.00012694139295070988}",129.75712873653057,129.7571287365306,129.7571287365306,430.0,0.08761977206568668,23.0,8.0,29.0,1.718678999233778,0.00012694139295070988
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 354, 'learning_rate': 0.02123753214111479, 'num_leaves': 32, 'max_depth': 7, 'min_child_samples': 17, 'reg_alpha': 0.007534622158956608, 'reg_lambda': 1.684533076098357}",129.94631937760633,129.94631937760633,129.9463193776063,354.0,0.02123753214111479,32.0,7.0,17.0,0.007534622158956608,1.684533076098357
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 464, 'learning_rate': 0.07469005284748448, 'num_leaves': 21, 'max_depth': 8, 'min_child_samples': 29, 'reg_alpha': 1.468791253057262, 'reg_lambda': 0.0005578574103940003}",130.06883639879212,130.06883639879212,130.06883639879212,464.0,0.07469005284748448,21.0,8.0,29.0,1.468791253057262,0.0005578574103940003
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 429, 'learning_rate': 0.08223962415646091, 'num_leaves': 22, 'max_depth': 7, 'min_child_samples': 42, 'reg_alpha': 1.1207467489842695, 'reg_lambda': 0.001258140752657838}",130.10438580541475,130.10438580541475,130.10438580541472,429.0,0.08223962415646091,22.0,7.0,42.0,1.1207467489842695,0.001258140752657838
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 431, 'learning_rate': 0.1113463634509742, 'num_leaves': 15, 'max_depth': 8, 'min_child_samples': 43, 'reg_alpha': 0.629848256347622, 'reg_lambda': 0.000253693622113583}",130.11268012033256,130.11268012033256,130.11268012033256,431.0,0.1113463634509742,15.0,8.0,43.0,0.629848256347622,0.000253693622113583
