levels,lags,params,mean_squared_error__weighted_average,mean_squared_error__average,mean_squared_error__pooling,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,reg_alpha,reg_lambda
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']","[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28]","{'n_estimators': 482, 'learning_rate': 0.045466876116959716, 'num_leaves': 44, 'max_depth': 3, 'min_child_samples': 14, 'reg_alpha': 0.00014422243561457965, 'reg_lambda': 0.004413205469767384}",267179.67911430425,267179.6791143043,267179.6791143043,482.0,0.045466876116959716,44.0,3.0,14.0,0.00014422243561457965,0.004413205469767384
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  7 14 21 28],"{'n_estimators': 144, 'learning_rate': 0.019794771074932348, 'num_leaves': 63, 'max_depth': 11, 'min_child_samples': 44, 'reg_alpha': 1.1549659339590204e-08, 'reg_lambda': 0.00039511700681839584}",298880.52547741326,298880.52547741326,298880.5254774133,144.0,0.019794771074932348,63.0,11.0,44.0,1.1549659339590204e-08,0.00039511700681839584
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'n_estimators': 431, 'learning_rate': 0.04447402709570434, 'num_leaves': 34, 'max_depth': 5, 'min_child_samples': 17, 'reg_alpha': 0.0007697179821204038, 'reg_lambda': 0.005691361824137141}",322067.36760468327,322067.36760468327,322067.3676046832,431.0,0.04447402709570434,34.0,5.0,17.0,0.0007697179821204038,0.005691361824137141
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'n_estimators': 224, 'learning_rate': 0.026489469207362663, 'num_leaves': 97, 'max_depth': 9, 'min_child_samples': 45, 'reg_alpha': 0.0001778010520878397, 'reg_lambda': 1.1921975182604538e-07}",346773.65383310296,346773.65383310296,346773.6538331029,224.0,0.026489469207362663,97.0,9.0,45.0,0.0001778010520878397,1.1921975182604538e-07
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'n_estimators': 312, 'learning_rate': 0.0427959944429929, 'num_leaves': 45, 'max_depth': 4, 'min_child_samples': 6, 'reg_alpha': 1.4247090282893084e-06, 'reg_lambda': 3.901069568054158e-06}",380204.0722347239,380204.0722347239,380204.0722347239,312.0,0.0427959944429929,45.0,4.0,6.0,1.4247090282893084e-06,3.901069568054158e-06
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'n_estimators': 123, 'learning_rate': 0.13394334706750485, 'num_leaves': 82, 'max_depth': 10, 'min_child_samples': 5, 'reg_alpha': 5.360294728728285, 'reg_lambda': 0.31044435499483225}",403506.88648151886,403506.8864815188,403506.8864815189,123.0,0.13394334706750485,82.0,10.0,5.0,5.360294728728285,0.31044435499483225
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']","[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
 25 26 27 28]","{'n_estimators': 271, 'learning_rate': 0.010791232418686401, 'num_leaves': 27, 'max_depth': 3, 'min_child_samples': 34, 'reg_alpha': 6.748446817464346e-06, 'reg_lambda': 0.0003776906385115029}",408885.2930814776,408885.2930814776,408885.29308147763,271.0,0.010791232418686401,27.0,3.0,34.0,6.748446817464346e-06,0.0003776906385115029
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  7 14 21 28],"{'n_estimators': 179, 'learning_rate': 0.010166803740022877, 'num_leaves': 107, 'max_depth': 10, 'min_child_samples': 38, 'reg_alpha': 0.08738424135626986, 'reg_lambda': 4.638759594322625e-08}",473017.59014310845,473017.5901431084,473017.5901431084,179.0,0.010166803740022877,107.0,10.0,38.0,0.08738424135626986,4.638759594322625e-08
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[1 2 3 4 5 6 7],"{'n_estimators': 216, 'learning_rate': 0.01620890700720353, 'num_leaves': 120, 'max_depth': 11, 'min_child_samples': 34, 'reg_alpha': 0.6968596391373533, 'reg_lambda': 0.1710207048797339}",606259.3476826156,606259.3476826156,606259.3476826155,216.0,0.01620890700720353,120.0,11.0,34.0,0.6968596391373533,0.1710207048797339
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[1 2 3 4 5 6 7],"{'n_estimators': 118, 'learning_rate': 0.02650113770745898, 'num_leaves': 58, 'max_depth': 5, 'min_child_samples': 43, 'reg_alpha': 1.6247252885719427e-05, 'reg_lambda': 3.376063348877853e-06}",625813.4104466613,625813.4104466612,625813.4104466613,118.0,0.02650113770745898,58.0,5.0,43.0,1.6247252885719427e-05,3.376063348877853e-06
